,Unnamed: 0,name,m,c,minslope,maxslope,diff,r2
0,0,shortpend_0.00126_1_data.csv,-0.000416514228023912,2.625782521734472,0.022956301629282614,-0.011907432761665344,-0.01743186719547398,0.006041415847674814
1,1,shortpend_0.00126_2_data.csv,-0.0026731367240421184,2.631724828841265,0.02621139401781681,-0.008179787473586067,-0.017195590745701442,0.0986071276375554
2,2,shortpend_0.00126_3_data.csv,-0.009106589955145496,2.6999732858557643,0.034784223993237835,-0.013753221376560298,-0.024268722684899068,0.8305731684979243
0,0,0_data.csv,-0.0034804782898360982,3.5788986614389904,0.006656871105899226,0.0007623875146812426,-0.002947241795608992,0.9482668178283016
1,1,shortpend_01057_1_data.csv,-0.004278453021491033,3.5136436027602644,0.007928268276453527,0.0018960602902745073,-0.00301610399308951,0.9262657204886724
2,2,shortpend_0.01057_2_data.csv,-0.003624812129278585,3.3633102080860953,0.0068712991160141965,0.0005505606321709855,-0.0031603692419216053,0.9686345495486076
0,0,0.10582_data (1).csv,-0.0375502005915448,3.663366855178429,0.05654910594000805,0.01869118727353864,-0.018928959333234702,0.9968912026203872
1,1,0.10582_data (2).csv,-0.03454606139746262,3.5743952882653534,0.05459455706712209,0.016534728412429218,-0.01902991432734644,0.992140114977253
2,2,0.10582_data (3).csv,-0.035202184314114364,3.5644585433406037,0.053673653877065367,0.015723413939176714,-0.01897511996894433,0.9585399006813682
3,3,0.10582_data (4).csv,-0.03581483802275922,3.5756527611276816,0.05406000409368737,0.021946958114427637,-0.016056522989629868,0.9884049527396656
0,0,0.21164_data (1).csv,-0.07067185711916853,3.3348803389162467,0.0904082468043292,0.053720635418252685,-0.018343805693038256,0.9798811845765956
1,1,0.21164_data (2).csv,-0.06364539671298901,3.2473751504102872,0.08093226562170693,0.048379787176970335,-0.016276239222368295,0.9876258042526908
2,2,0.21164_data (3).csv,-0.06705318571014922,3.270221433167753,0.0807504959319323,0.04853840993411188,-0.01610604299891021,0.9853499994621012
3,3,0.21164_data (4).csv,-0.06687115443185647,3.3517625666063404,0.08370679281974873,0.0474375718274918,-0.018134610496128457,0.9861059577892309
0,0,0.31746_data (1).csv,-0.09788629007119806,3.4197962134176128,0.11734826154860575,0.07846356500607267,-0.01944234827126655,0.9875881343821372
1,1,0.31746_data (2).csv,-0.09821838475629964,3.3983390183849385,0.11994185135248844,0.08048227770099227,-0.01972978682574809,0.9901922742032976
2,2,0.31746_data (3).csv,-0.09051821026806554,3.2825020690874283,0.10883510021644598,0.069587127865025,-0.01962398617571049,0.9698791971352392
3,3,0.31746_data (4).csv,-0.09695267335393153,3.5283789559757843,0.12145865216360975,0.076313707343748,-0.02257247240993087,0.9851897145691528
0,0,0.42328_data (1).csv,-0.11248673384513172,3.2723052999316047,0.1367052341657637,0.09352400287461644,-0.02159061564557363,0.9586316726813728
1,1,0.42328_data (2).csv,-0.11575780615639765,3.155097239934483,0.14297238862453412,0.10175721794883028,-0.020607585337851925,0.9517452291071256
2,2,0.42328_data (3).csv,-0.11679540364580154,3.188898320898572,0.14253861476032853,0.0985136170213122,-0.02201249886950817,0.9725702849052232
3,3,0.42328_data (4).csv,-0.12178191957362212,3.2314324552114853,0.1457648553294626,0.10279185763052516,-0.021486498849468717,0.9551661706824468
0,0,0.5291_data (1).csv,-0.14243503593822926,3.2376377592696293,0.17324941230101618,0.1216512486136562,-0.02579908184367998,0.9714693613154416
1,1,0.5291_data (2).csv,-0.12597486424091214,3.0979259738235867,0.14938947108589393,0.10318840739158072,-0.0231005318471566,0.9228663280278464
2,2,0.5291_data (3).csv,-0.14053004231778354,3.1393397763406203,0.15622919889586956,0.1081871810366724,-0.02402100892959857,0.9427849336779688
0,0,0.63491_data (1).csv,-0.17373277312178698,3.5764099810800682,0.20914480877124986,0.14459712564580424,-0.03227384156272278,0.9591454575207944
1,1,0.63491_data (2).csv,-0.15496281937548706,3.5943687457995717,0.1901531203030722,0.13226800969607266,-0.028942555303499762,0.9685014510140646
2,2,0.63491_data (3).csv,-0.14646783102850808,3.054026686872449,0.16928192299614722,0.11711262049637546,-0.02608465124988589,0.9240363962805124
3,3,0.63491_data (4).csv,-0.15097635972976706,3.065048050202106,0.1842816028288856,0.12875203796667814,-0.027764782431103738,0.91767061991399
