,Unnamed: 0,name,,m,c,minslope,maxslope,r2,,,,,,
0,0,shortpend_0.00126_1_data.csv,,-0.000569692,2.299246577,0.010723705,-0.024163205,0.005862502,,,,,,
1,1,shortpend_0.00126_2_data.csv,,-0.003774234,2.299946709,0.006308872,-0.028620157,0.100695338,,,,,,
2,2,shortpend_0.00126_3_data.csv,,-0.011349401,2.502150268,0.008450271,-0.024990138,0.829870789,1/d,SA,,abs,rel,1/d
0,0.002,0.0106,0.002,-0.002965455,3.430902244,0.008403997,-0.014999559,0.433114071,337.2163711,0.0106,0.002965455,0.011701778,110.4%,337.2163711
1,0.004,0.0106,0.002,-0.004297078,3.28789686,0.005290674,-0.01913397,0.413881877,232.7162868,0.0106,0.004297078,0.012212322,115.2%,232.7162868
2,0.005,0.0106,0.002,-0.005369445,3.063852264,0.006303646,-0.020259062,0.74233968,186.2389864,0.0106,0.005369445,0.013281354,125.3%,186.2389864
0,0.006,0.107,0.004,-0.04013191,3.62119729,-0.013346668,-0.0381154,0.997168676,24.91782747,0.107,0.04013191,0.012384366,11.6%,24.91782747
1,0.007,0.107,0.004,-0.036071438,3.543467783,-0.011394912,-0.036076867,0.992366702,27.7227648,0.107,0.036071438,0.012340977,11.5%,27.7227648
2,0.007,0.107,0.004,-0.03610537,3.546057581,-0.010498425,-0.034948346,0.958913274,27.6967108,0.107,0.03610537,0.01222496,11.4%,27.6967108
3,0.008,0.107,0.004,-0.038350163,3.529134052,-0.018560526,-0.043717229,0.988349608,26.07550876,0.107,0.038350163,0.012578352,11.8%,26.07550876
0,0,0.215,0.005,-0.073607814,3.313497742,-0.043723778,-0.072759467,0.981107821,13.58551423,0.215,0.073607814,0.014517844,6.8%,13.58551423
1,1,0.215,0.005,-0.065971685,3.228525884,-0.045787119,-0.075878187,0.988369432,15.15801811,0.215,0.065971685,0.015045534,7.0%,15.15801811
2,2,0.215,0.005,-0.069125816,3.254338779,-0.045477375,-0.075077626,0.986012407,14.46637539,0.215,0.069125816,0.014800125,6.9%,14.46637539
3,3,0.215,0.005,-0.069247615,3.334277536,-0.038651037,-0.067471552,0.986871399,14.4409306,0.215,0.069247615,0.014410257,6.7%,14.4409306
0,0,0.326,0.006,-0.10487922,3.401593003,-0.067328084,-0.099608369,0.989936092,9.534777232,0.326,0.10487922,0.016140142,5.0%,9.534777232
1,1,0.326,0.006,-0.10533217,3.378559441,-0.068311234,-0.100715794,0.992363206,9.493775759,0.326,0.10533217,0.01620228,5.0%,9.493775759
2,2,0.326,0.006,-0.094267657,3.267282953,-0.057407776,-0.089120919,0.971667931,10.60809226,0.326,0.094267657,0.015856571,4.9%,10.60809226
3,3,0.326,0.006,-0.106760344,3.508070702,-0.055948683,-0.087177265,0.987313568,9.366773895,0.326,0.106760344,0.015614291,4.8%,9.366773895
0,0,0.43,0.007,-0.119240893,3.263243686,-0.080358853,-0.116972314,0.962364249,8.386384701,0.43,0.119240893,0.01830673,4.3%,8.386384701
1,1,0.43,0.007,-0.119952312,3.147900305,-0.098303913,-0.13825225,0.954411342,8.336646349,0.43,0.119952312,0.019974169,4.6%,8.336646349
2,2,0.43,0.007,-0.124032972,3.175438537,-0.085101665,-0.122768709,0.975937677,8.062372334,0.43,0.124032972,0.018833522,4.4%,8.062372334
3,3,0.43,0.007,-0.128776704,3.218196239,-0.087867197,-0.124243656,0.959824821,7.765379672,0.43,0.128776704,0.01818823,4.2%,7.765379672
0,0,0.545,0.007,-0.157316851,3.241702453,-0.108264831,-0.156018612,0.978472376,6.356598134,0.545,0.157316851,0.02387689,4.4%,6.356598134
1,1,0.545,0.007,-0.132864763,3.086977823,-0.089508586,-0.129539526,0.92770283,7.526450049,0.545,0.132864763,0.02001547,3.7%,7.526450049
2,2,0.545,0.007,-0.151149628,3.131049811,-0.095253704,-0.137837345,0.947066102,6.615960708,0.545,0.151149628,0.02129182,3.9%,6.615960708
0,0,0.545,0.007,-0.171034515,3.57056176,-0.099610065,-0.144012291,0.957626205,5.846773095,0.653,0.171034515,0.022201113,3.4%,5.846773095
1,1,0.653,0.008,-0.165138504,3.618212175,-0.098965699,-0.142856436,0.972719083,6.055522951,0.653,0.165138504,0.021945368,3.4%,6.055522951
2,2,0.653,0.008,-0.166092398,3.0468675,-0.107209986,-0.157714209,0.935885927,6.020745138,0.653,0.166092398,0.025252112,3.9%,6.020745138
3,3,0.653,0.008,-0.158387015,3.060577481,-0.110190879,-0.159158566,0.922731526,6.313648896,0.653,0.158387015,0.024483844,3.7%,6.313648896
,,,,,,,,,,0,,,,
