,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
3,3,2.07423,57.97,0.42328_data (1).csv,3.176704070256867
4,4,4.03,51.29,0.42328_data (1).csv,2.8499910786098406
5,5,6.0626,46.37,0.42328_data (1).csv,2.515082382256009
6,6,8.15477,43.8,0.42328_data (1).csv,2.2821402757793536
7,7,10.07917,41.46,0.42328_data (1).csv,2.0092373489209505
8,8,10.20831,41.46,0.42328_data (1).csv,2.0092373489209505
9,9,12.17375,40.89,0.42328_data (1).csv,1.9297267021054096
10,10,14.10909,39.91,0.42328_data (1).csv,1.7762443312351783
11,11,14.23889,39.91,0.42328_data (1).csv,1.7762443312351783
