,n,time,displacement,max_or_min,displacement_linearized
0,20,0.0,72.94,0_data.csv,3.585786018152425
1,22,1.93012494,72.87,0_data.csv,3.5838440926079147
2,24,3.67580336,71.48,0_data.csv,3.5444808683679647
3,26,5.62923759,71.43,0_data.csv,3.5430356438832034
4,28,7.51305145,72.25,0_data.csv,3.566477539950394
5,29,9.43398994,71.53,0_data.csv,3.545924007192799
6,30,11.3210985,71.55,0_data.csv,3.546500680085318
7,31,13.13931888,71.68,0_data.csv,3.550240969689349
8,32,15.15721148,70.45,0_data.csv,3.514279234506308
9,33,16.97669118,70.29,0_data.csv,3.5095047745906154
10,34,18.8054313,71.19,0_data.csv,3.536069342694341
11,35,20.81314104,70.29,0_data.csv,3.5095047745906154
12,36,22.66911906,69.98,0_data.csv,3.500188881712535
13,37,24.63469451,69.14,0_data.csv,3.4745007370686913
14,38,26.45255059,70.29,0_data.csv,3.5095047745906154
15,39,28.34384888,69.62,0_data.csv,3.4892603776732245
16,40,30.17590707,68.78,0_data.csv,3.463286262777713
17,41,32.10803812,69.42,0_data.csv,3.483136979953665
18,42,33.97839707,67.59,0_data.csv,3.4252949376552917
19,43,35.95148986,68.13,0_data.csv,3.4427137735199724
20,44,37.80557173,68.26,0_data.csv,3.446862268911133
21,45,39.73095911,67.46,0_data.csv,3.421055806510291
22,46,41.59542578,67.65,0_data.csv,3.4272454151804426
23,47,43.47849601,68.06,0_data.csv,3.4404728193669074
24,48,45.404988700000004,67.03,0_data.csv,3.40690464595887
25,49,47.29429072,67.39,0_data.csv,3.4187657322292835
26,50,49.11187023,67.3,0_data.csv,3.4158136238226398
27,51,51.08280509,66.98,0_data.csv,3.4052460896624615
28,52,52.97187036,66.48,0_data.csv,3.3885074524424166
29,53,54.93935388,67.16,0_data.csv,3.4112040625027236
30,54,56.76941985,66.46,0_data.csv,3.387832043880035
31,55,58.59877723,65.89,0_data.csv,3.3683885931420754
