,time,displacement
0,2.020999999999997,750.1619614132862
1,6.107999999999969,725.9236936986156
2,10.440999999999892,706.0838488435539
3,14.8679999999998,689.5442362826338
4,19.622999999999884,675.5442334273324
5,24.18400000000005,663.5425148075216
6,28.932000000000173,653.1407355164599
7,34.050000000000324,644.0366929287449
8,38.98400000000055,636.0016212949649
9,43.62600000000072,628.8575476103364
10,48.85900000000093,622.4639346520821
11,53.8500000000012,616.7083287231185
12,59.54300000000145,611.4996778664047
